song,duration,level
A Day In The Life,1500,2
A Hard Day's Night,1000,1
A Taste Of Honey,1000,4
Across The Universe,1000,2
Act Naturally,1000,4
All I've Got To Do,1000,4
All My Loving,1000,2
All Together Now,1000,4
All You Need Is Love,1000,1
And I Love Her,1000,2
And Your Bird Can Sing,1000,4
Anna (Go To Him),1000,4
Another Girl,1000,4
Any Time At All,1000,4
Ask Me Why,1000,4
Baby It's You,1000,4
Baby You're A Rich Man,1000,4
Baby's In Black,1000,4
Back In The U.S.S.R.,1000,2
Bad Boy,1000,4
Because,1000,4
Being For The Benefit Of Mr Kite!,1000,4
Birthday,1000,4
Blackbird,1000,3
Blue Jay Way,1500,4
Boys,1000,4
Can't Buy Me Love,1000,1
Carry That Weight,1000,4
Chains,1000,4
Come Together,1000,1
Cry Baby Cry,1000,4
Day Tripper,1000,1
Dear Prudence,1000,3
Devil In Her Heart,1000,4
Dig A Pony,1000,4
Dig It,1300,4
Dizzy Miss Lizzy,1000,4
Do You Want To Know A Secret?,1000,4
Doctor Robert,1000,4
Don't Bother Me,1000,4
Don't Let Me Down,1000,2
Don't Pass Me By,1000,4
Drive My Car,1000,2
Eight Days A Week,1000,1
Eleanor Rigby,1000,1
Every Little Thing,1000,4
Everybody's Got Something To Hide Except Me And My Monkey,1000,4
Everybody's Trying To Be My Baby,1000,4
Fixing A Hole,1000,4
Flying,1000,4
For No One,1000,4
For You Blue,1000,4
Free As A Bird,1000,4
From Me To You,1000,1
Get Back,1000,1
Getting Better,1000,4
Girl,1000,2
Glass Onion,1000,3
Golden Slumbers,1000,4
Good Day Sunshine,1000,4
Good Morning Good Morning,1000,4
Good Night,2000,4
Got To Get You Into My Life,1000,3
Happiness Is A Warm Gun,1000,4
"Hello, Goodbye",1000,1
Help!,1000,1
Helter Skelter,1000,4
Her Majesty,1000,4
Here Comes The Sun,1000,2
"Here, There And Everywhere",1000,3
Hey Bulldog,1000,3
Hey Jude,1000,1
Hold Me Tight,1000,4
Honey Don't,1000,4
