song,duration
A Day In The Life,1500
A Hard Day's Night,1000
A Taste Of Honey,1000
Across The Universe,1000
Act Naturally,1000
All I've Got To Do,1000
All My Loving,1000
All Together Now,1000
All You Need Is Love,1000
And I Love Her,1000
And Your Bird Can Sing,1000
Anna (Go To Him),1000
Another Girl,1000
Any Time At All,1000
Ask Me Why,1000
Baby It's You,1000
Baby You're A Rich Man,1000
Baby's In Black,1000
Back In The U.S.S.R.,1000
Bad Boy,1000
Because,1000
Being For The Benefit Of Mr Kite!,1000
Birthday,1000
Blackbird,1000
Blue Jay Way,1500
Boys,1000
Can't Buy Me Love,1000
Carry That Weight,1000
Chains,1000
Come Together,1000
Cry Baby Cry,1000
Day Tripper,1000
Dear Prudence,1000
Devil In Her Heart,1000
Dig A Pony,1000
Dig It,1300
Dizzy Miss Lizzy,1000
Do You Want To Know A Secret?,1000
Doctor Robert,1000
Don't Bother Me,1000
Don't Let Me Down,1000
Don't Pass Me By,1000
Drive My Car,1000
Eight Days A Week,1000
Eleanor Rigby,1000
Every Little Thing,1000
Everybody's Got Something To Hide Except Me And My Monkey,1000
Everybody's Trying To Be My Baby,1000
Fixing A Hole,1000
Flying,1000
For No One,1000
For You Blue,1000
Free As A Bird,1000
From Me To You,1000
Get Back,1000
Getting Better,1000
Girl,1000
Glass Onion,1000
Golden Slumbers,1000
Good Day Sunshine,1000
Good Morning Good Morning,1000
Good Night,2000
Got To Get You Into My Life,1000
Happiness Is A Warm Gun,1000
"Hello, Goodbye",1000
Help!,1000
Helter Skelter,1000
Her Majesty,1000
Here Comes The Sun,1000
"Here, There And Everywhere",1000
Hey Bulldog,1000
Hey Jude,1000
Hold Me Tight,1000
Honey Don't,1000
Honey Pie,1000
I Am The Walrus,1000
I Call Your Name,1000
I Don't Want To Spoil The Party,1000
I Feel Fine,1000
I Me Mine,1000
I Need You,1000
I Saw Her Standing There,1000
I Should Have Known Better,1000
I Wanna Be Your Man,1000
I Want To Hold Your Hand,1000
I Want To Tell You,1000
I Want You (She's So Heavy),1000
I Will,1000
I'll Be Back,1000
I'll Cry Instead,1000
I'll Follow The Sun,1000
I'll Get You,1000
I'm A Loser,1000
I'm Down,1000
I'm Happy Just To Dance With You,1000
I'm Looking Through You,1000
I'm Only Sleeping,1000
I'm So Tired,1000
I've Got A Feeling,1000
I've Just Seen A Face,1000
If I Fell,1000
If I Needed Someone,1000
In My Life,1000
It Won't Be Long,1000
It's All Too Much,1000
It's Only Love,1000
Julia,1000
Kansas City | Hey-Hey-Hey-Hey,1000
Lady Madonna,1000
Let It Be,1000
Little Child,1000
Long Tall Sally,800
"Long, Long, Long",1000
Love Me Do,1000
Love You To,1000
Lovely Rita,1000
Lucy In The Sky With Diamonds,1000
Maggie Mae,1000
Magical Mystery Tour,1000
Martha My Dear,1000
Matchbox,1000
Maxwell's Silver Hammer,1000
Mean Mr. Mustard,1000
Michelle,1000
Misery,1000
Money (That's What I Want),1000
Mother Nature's Son,1000
Mr. Moonlight,1000
No Reply,1000
Norwegian Wood,1000
Not A Second Time,1000
Now And Then,1000
Nowhere Man,1000
"Ob-La-Di, Ob-La-Da",1000
Octopus's Garden,1000
Oh! Darling,1000
Old Brown Shoe,1000
One After 909,1000
Only A Northern Song,1000
P.S. I Love You,1000
Paperback Writer,1000
Penny Lane,1000
Piggies,1000
Please Mister Postman,1000
Please Please Me,1000
Polythene Pam,1000
Rain,1000
Real Love,1000
Revolution 1,1000
Revolution 9,1000
Revolution,1000
Rock And Roll Music,1000
Rocky Raccoon,1000
Roll Over Beethoven,1000
Run For Your Life,1000
Savoy Truffle,1000
Sexy Sadie,1000
Sgt. Pepper's Lonely Hearts Club Band (Reprise),1000
Sgt. Pepper's Lonely Hearts Club Band,2000
She Came In Through The Bathroom Window,1000
She Loves You,1000
She Said She Said,1000
She's A Woman,1000
She's Leaving Home,1000
Slow Down,1000
Something,1000
Strawberry Fields Forever,1000
Sun King,1000
Taxman,1000
Tell Me What You See,1000
Tell Me Why,1000
Thank You Girl,1000
The Ballad Of John And Yoko,1000
The Continuing Story Of Bungalow Bill,1000
The End,1000
The Fool On The Hill,1000
The Inner Light,1000
The Long And Winding Road,1000
The Night Before,1000
The Word,1000
There's A Place,1000
Things We Said Today,1000
Think For Yourself,1000
This Boy,1000
Ticket To Ride,1000
Till There Was You,1000
Tomorrow Never Knows,1000
Twist And Shout,1000
Two Of Us,1000
Wait,1000
We Can Work It Out,1000
What Goes On,1000
What You're Doing,1000
When I Get Home,1000
When I'm Sixty-Four,1000
While My Guitar Gently Weeps,1000
Why Don't We Do It In The Road,1000
Wild Honey Pie,1000
With A Little Help From My Friends,1000
Within You Without You,2000
Words Of Love,1000
Yellow Submarine,1000
Yer Blues,1000
Yes It Is,1000
Yesterday,1000
You Can't Do That,1000
You Know My Name (Look Up The Number),1000
You Like Me Too Much,1000
You Never Give Me Your Money,1000
You Really Got A Hold On Me,1000
You Won't See Me,1000
You're Going To Lose That Girl,1000
You've Got To Hide Your Love Away,1000
Your Mother Should Know,1000
