song,level,lyrics
A Day In The Life,2,"I read the news today, oh boy<br>About a lucky man who made the grade<br>And though the news was rather sad<br>Well, I just had to laugh<br>I saw the photograph<br><br>He blew his mind out in a car;<br>He didn't notice that the lights had changed<br>A crowd of people stood and stared<br>They'd seen his face before<br>Nobody was really sure if he was from the House of Lords<br><br>I saw a film today, oh boy;<br>The English army had just won the war<br>A crowd of people turned away<br>But I just had to look<br>Having read the book<br><br>I'd love to turn you on<br><br>Woke up, fell out of bed<br>Dragged a comb across my head<br>Found my way downstairs and drank a cup<br>And looking up, I noticed I was late<br><br>Found my coat and grabbed my hat<br>Made the bus in seconds flat<br>Found my way upstairs and had a smoke<br>And somebody spoke and I went into a dream<br><br>Ah I read the news today, oh boy<br>Four thousand holes in Blackburn, Lancashire<br>And though the holes were rather small<br>They had to count them all<br>Now they know how many holes it takes to fill the Albert Hall<br><br>I'd love to turn you on"
A Hard Day's Night,1,"It's been a hard day's night, and I've been working like a dog<br>It's been a hard day's night, I should be sleeping like a log<br>But when I get home to you I find the things that you do<br>Will make me feel alright<br><br>You know I work all day to get you money to buy you things<br>And it's worth it just to hear you say you're going to give me everything<br>So why on earth should I moan, cos when I get you alone<br>You know I feel OK<br><br>When I'm home everything seems to be right<br>When I'm home feeling you holding me tight, tight, yeah<br><br>It's been a hard day's night, and I've been working like a dog<br>It's been a hard day's night, I should be sleeping like a log<br>But when I get home to you I find the things that you do<br>Will make me feel alright owww<br><br>So why on earth should I moan, cos when I get you alone<br>You know I feel OK<br><br>When I'm home everything seems to be right<br>When I'm home feeling you holding me tight, tight, yeah<br><br>It's been a hard day's night, and I've been working like a dog<br>It's been a hard day's night, I should be sleeping like a log<br>But when I get home to you I find the things that you do<br>Will make me feel alright<br>You know I feel alright<br>You know I feel alright"
A Taste Of Honey,4,"A taste of honey<br>Tasting much sweeter than wine<br><br>I dream of your first kiss<br>And then I feel upon my lips again<br><br>A taste of honey<br>Tasting much sweeter than wine<br><br>I will return, yes I will return<br>I'll come back for the honey and you<br><br>Yours was the kiss that awoke my heart<br>There lingers still, though we're far apart<br><br>That taste of honey<br>Tasting much sweeter than wine<br><br>Oh I will return, yes I will return<br>I'll come back (He'll come back)<br>for the honey (For the honey)<br>and you"
Across The Universe,2,"Words are flowing out like endless rain into a paper cup<br>They slither while they pass, they slip away across the universe<br>Pools of sorrow waves of joy are drifting through my opened mind<br>Possessing and caressing me<br><br>Jai guru deva om<br>Nothing's gonna change my world<br>Nothing's gonna change my world<br>Nothing's gonna change my world<br>Nothing's gonna change my world<br><br>Images of broken light which dance before me like a million eyes<br>They call me on and on across the universe<br>Thoughts meander like a restless wind<br>Inside a letter box they<br>Tumble blindly as they make their way<br>Across the universe<br><br>Jai guru deva om<br>Nothing's gonna change my world<br>Nothing's gonna change my world<br>Nothing's gonna change my world<br>Nothing's gonna change my world<br><br>Sounds of laughter shades of life are ringing<br>Through my open ears inciting and inviting me<br>Limitless undying love which shines around me like a million suns<br>And calls me on and on across the universe<br><br>Jai guru deva om<br>Nothing's gonna change my world<br>Nothing's gonna change my world<br>Nothing's gonna change my world<br>Nothing's gonna change my world<br><br>Jai guru deva<br>Jai guru deva<br>Jai guru deva<br>Jai guru deva<br>Jai guru deva<br>Jai guru deva..."
Act Naturally,4,"They're gonna put me in the movies<br>They're gonna make a big star out of me<br>We'll make a film about a man that's sad and lonely<br>And all I gotta do is act naturally<br><br>Well, I'll bet you I'm gonna be a big star<br>Might win an Oscar you can never tell<br>The movies gonna make me a big star<br>'Cause I can play the part so well<br><br>Well I hope you'll come and see me in the movies<br>Then I'll know that you will plainly see<br>The biggest fool that ever hit the big time<br>And all I gotta do is act naturally<br><br>We'll make the scene about a man that's sad and lonely<br>And begging down upon his bended knee<br>I'll play the part and I won't need rehearsing<br>All I have to do is act naturally<br><br>Well, I'll bet you I'm gonna be a big star<br>Might win an Oscar you can never tell<br>The movies gonna make me a big star<br>'Cause I can play the part so well<br><br>Well I hope you'll come and see me in the movies<br>Then I'll know that you will plainly see<br>The biggest fool that ever hit the big time<br>And all I gotta do is act naturally"
All I've Got To Do,4,"Whenever I want you around, yeah<br>All I gotta do is call you on the phone<br>And you'll come running home<br>yeah that's all I gotta do<br><br>And when I wanna kiss you, yeah<br>All I gotta do is whisper in your ear<br>The words you long to hear<br>And I'll be kissin' you<br><br>And the same goes for me, whenever you want me at all<br>I'll be here, yes I will, whenever you call<br>You just gotta call on me, yeah<br>You just gotta call on me<br><br>And when I wanna kiss you, yeah<br>All I gotta do is call you on the phone<br>And you'll come running home<br>Yeah, that's all I gotta do<br><br>And the same goes for me, whenever you want me at all<br>I'll be here, yes I will, whenever you call<br>You just gotta call on me, yeah<br>You just gotta call on me. Oh, you just gotta call on me<br><br>Mmmmmm mm mm"
All My Loving,2,"Close your eyes and I'll kiss you<br>Tomorrow I'll miss you<br>Remember I'll always be true<br>And then while I'm away<br>I'll write home every day<br>And I'll send all my loving to you<br><br>I'll pretend that I'm kissing<br>The lips I am missing<br>And hope that my dreams will come true<br>And then while I'm away<br>I'll write home every day<br>And I'll send all my loving to you<br><br>All my loving I will send to you<br>All my loving, darling I'll be true<br><br>Close your eyes and I'll kiss you<br>Tomorrow I'll miss you<br>Remember I'll always be true<br>And then while I'm away<br>I'll write home every day<br>And I'll send all my loving to you<br><br>All my loving I will send to you<br>All my loving, darling I'll be true<br>All my loving, all my loving ooh<br>All my loving I will send to you"
All Together Now,4,"One, two, three, four<br>Can I have a little more?<br>Five, six, seven, eight, nine, ten, I love you<br><br>A, B, C, D<br>Can I bring my friend to tea?<br>E, F, G, H, I, J, I love you<br><br>(Bom bom bom bompa bom) Sail the ship<br>(Bompa bom) Chop the tree<br>(Bompa bom) Skip the rope<br>(Bompa bom) Look at me<br><br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br><br>Black, white, green, red<br>Can I take my friend to bed?<br>Pink, brown, yellow, orange and blue, I love you<br><br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br><br>(Bom bom bom) Sail the ship<br>(Bompa bom) Chop the tree<br>(Bompa bom) Skip the rope<br>(Bompa bom) Look at me<br><br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now<br>(All together now) All together now"
All You Need Is Love,1,"Love, love, love<br>Love, love, love<br>Love, love, love<br><br>There's nothing you can do that can't be done<br>Nothing you can sing that can't be sung<br>Nothing you can say but you can learn how to play the game<br>It's easy<br><br>Nothing you can make that can't be made<br>No one you can save that can't be saved<br>Nothing you can do but you can learn how to be you in time<br>It's easy<br><br>All you need is love<br>All you need is love<br>All you need is love, love<br>Love is all you need<br><br>Love, love, love<br>Love, love, love<br>Love, love, love<br><br>All you need is love<br>All you need is love<br>All you need is love, love<br>Love is all you need<br><br>Nothing you can know that isn't known<br>Nothing you can see that isn't shown<br>Nowhere you can be that isn't where you're meant to be<br>It's easy<br><br>All you need is love<br>All you need is love<br>All you need is love, love<br>Love is all you need<br><br>All you need is love (All together, now!)<br>All you need is love (Everybody!)<br>All you need is love, love<br>Love is all you need<br>Love is all you need (Love is all you need)<br>Love is all you need (Love is all you need)<br>Love is all you need (Love is all you need)<br>Love is all you need (Love is all you need)<br>Love is all you need (Love is all you need)<br>Love is all you need (Love is all you need)<br>Love is all you need (Love is all you need)<br>Love is all you need (Love is all you need)<br>Love is all you need (Love is all you need)<br>Love is all you need (Love is all you need)<br>Love is all you need (Love is all you need)<br>Yee-hai! (Love is all you need)<br>Love is all you need (Love is all you need)<br><br>Yesterday (Love is all you need)<br>Love is all you need (Love is all you need)<br>Love is all you need (Love is all you need)<br>Love is all you need (Love is all you need)<br>Oh yeah! (Love is all you need)<br>She loves you, yeah yeah yeah (Love is all you need)<br>She loves you, yeah yeah yeah (Love is all you need)"
And I Love Her,2,I give her all my love<br>That's all I do<br>And if you saw my love<br>You'd love her too<br>I love her<br><br>She gives me everything<br>And tenderly<br>The kiss my lover brings<br>She brings to me<br>And I love her<br><br>A love like ours<br>Could never die<br>As long as I<br>Have you near me<br><br>Bright are the stars that shine<br>Dark is the sky<br>I know this love of mine<br>Will never die<br>And I love her<br><br>Bright are the stars that shine<br>Dark is the sky<br>I know this love of mine<br>Will never die<br>And I love her
